Ports and protocols
Telnet ;23;TCP;
DNS: Domain Name System ;53;UDP;TCP
DHCP Server ;67;UDP;
DHCP Client ;68;UDP;
TFTP: Trivial File Transfer Protocol ;69;UDP;
HTTP: Hypertext Transfer Protocol ;80;TCP;
SNMP: Simple Network Management Protocol ;161;UDP;
SNMP-trap: Simple Network Management Protocol, getriggerde notificaties ;162;UDP;
LDAP: Lightweight Directory Access Protocol ;389;TCP;
HTTPS: HyperText Transfer Protocol over TLS/SSL ;443;TCP;
DHCP Client (ipv6) ;546;UDP;
DHCP Server (ipv6) ;547;UDP;
